subjectId,choice,embedSignal,centeredVolume,blockBias
HAEB38,0,0,-1.0,0.425641025641026
HAEB38,0,0,-1.0,0.428571428571429
HAEB38,0,0,-1.0,0.429292929292929
HAEB38,1,1,0.9532247148923478,0.4321608040201
HAEB38,0,0,-1.0,0.427860696517413
HAEB38,0,0,-1.0,0.429268292682927
HAEB38,0,0,-1.0,0.431279620853081
HAEB38,0,0,-1.0,0.436619718309859
HAEB38,0,0,-1.0,0.439252336448598
HAEB38,0,0,-1.0,0.441860465116279
HAEB38,1,1,0.950389946403147,0.444954128440367
HAEB38,0,0,-1.0,0.442922374429224
HAEB38,0,0,-1.0,0.445945945945946
HAEB38,0,0,-1.0,0.447826086956522
HAEB38,1,0,-1.0,0.45021645021645
HAEB38,0,0,-1.0,0.448275862068966
HAEB38,0,0,-1.0,0.450643776824034
HAEB38,1,1,0.9309707868531693,0.452991452991453
HAEB38,0,0,-1.0,0.453389830508475
HAEB38,0,0,-1.0,0.450413223140496
HAEB38,1,1,0.9311002439568868,0.451219512195122
HAEB38,1,0,-1.0,0.449392712550607
HAEB38,0,0,-1.0,0.444
HAEB38,0,0,-1.0,0.446640316205534
HAEB38,0,0,-1.0,0.448818897637795
HAEB38,0,0,-1.0,0.447876447876448
HAEB38,1,1,0.9533232502158662,0.448275862068966
HAEB38,0,0,-1.0,0.446564885496183
HAEB38,0,0,-1.0,0.448669201520912
HAEB38,0,0,-1.0,0.450757575757576
HAEB38,0,0,-1.0,0.452830188679245
HAEB38,0,0,-1.0,0.453183520599251
HAEB38,0,0,-1.0,0.453531598513011
HAEB38,1,1,0.9543770372078628,0.452554744525547
HAEB38,0,0,-1.0,0.449275362318841
HAEB38,0,0,-1.0,0.453571428571429
HAEB38,0,0,-1.0,0.455516014234875
HAEB38,0,0,-1.0,0.457446808510638
HAEB38,1,1,1.0,0.461267605633803
HAEB38,0,0,-1.0,0.456445993031359
HAEB38,1,1,0.9558934857775612,0.457337883959044
HAEB38,0,0,-1.0,0.45578231292517
HAEB38,0,0,-1.0,0.45514950166113
HAEB38,0,0,-1.0,0.456953642384106
HAEB38,0,0,-1.0,0.460526315789474
HAEB38,1,1,0.9707982911900608,0.46078431372549
HAEB38,0,0,-1.0,0.456310679611651
HAEB38,0,0,-1.0,0.453674121405751
HAEB38,0,0,-1.0,0.455414012738854
HAEB38,0,0,-1.0,0.457413249211357
HAEB38,0,0,-1.0,0.460815047021944
HAEB38,0,0,-1.0,0.4625
HAEB38,0,0,-1.0,0.46417445482866
HAEB38,1,1,0.9365808729974312,0.464396284829721
HAEB38,0,0,-1.0,0.462962962962963
HAEB38,0,0,-1.0,0.466257668711656
HAEB38,0,0,-1.0,0.466463414634146
HAEB38,1,1,0.9562790128173636,0.46969696969697
HAEB38,0,0,-1.0,0.5
HAEB38,0,0,-1.0,0.454545454545455
HAEB38,0,0,-1.0,0.44
HAEB38,0,0,-1.0,0.461538461538462
HAEB38,0,0,-1.0,0.481481481481482
HAEB38,0,0,-1.0,0.451612903225806
HAEB38,0,0,-1.0,0.46875
